iso_code,location,date,new_deaths_smoothed_per_million,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,death_days,vaccination_rate2,location2,year,month,day
"PAK","Pakistan","2022-04-30",0,225199929,112631,524439,0.2,59.6,4.58e+07,1224,0,59.64,"Pakistan","2022","April","30"
"PSE","Palestine","2021-10-03",3.255,5222756,1285.529,139689,2.7,27.1,2761990,277,4706,27.12,"Palestine","2021","October","03"
"PAN","Panama","2022-03-23",.424,4381583,7247.711,19754,0.5,78.3,75928.35,54,100,78.27,"Panama","2022","March","23"
"PRY","Paraguay","2021-10-08",.158,7219641,24537.18,84084,1.2,39.3,2937073,489,559,39.32,"Paraguay","2021","October","08"
"PER","Peru","2022-04-30",.368,33359415,8839.329,162341,0.5,87.4,-2460760,-212,-2607,87.38,"Peru","2022","April","30"
"PHL","Philippines","2021-08-15",1.567,111046910,2312.678,6425608,5.8,16.8,7.01e+07,153,26591,16.84,"The Philippines","2021","August","15"
"POL","Poland","2022-05-03",.348,37797000,831.8497,47929,0.1,60.0,7564575,2210,29040,59.99,"Poland","2022","May","03"
"PRT","Portugal","2022-03-10",2.023,10167923,308.4926,972,0.0,95.0,-1529204,-22021,-452994,95.04,"Portugal","2022","March","10"
"QAT","Qatar","2021-09-11",.097,2930524,36986.01,76697,2.6,80.5,-15888.8,-3,-1,80.54,"Qatar","2021","September","11"
"ROU","Romania","2021-09-27",6.408,19127772,135.9783,154547,0.8,28.6,9827711,890,109121,28.62,"Romania","2021","September","27"
"RUS","Russia","2022-05-04",.969,145912022,369.9524,626519,0.4,55.4,3.58e+07,801,113235,55.44,"Russia","2022","May","04"
"RWA","Rwanda","2021-11-11",.043,13276517,244164.6,3898090,29.4,36.0,5846618,21,12,35.96,"Rwanda","2021","November","11"
"KNA","Saint Kitts and Nevis","2021-08-24",0,53546,32,1624,3.0,45.2,18647.8,161,0,45.17,"Saint Kitts and Nevis","2021","August","24"
"LCA","Saint Lucia","2022-03-02",2.324,184401,2242.424,364,0.2,31.2,89898.8,3458,1482,31.25,"Saint Lucia","2022","March","02"
"VCT","Saint Vincent and the Grenadines","2022-04-19",0,111269,17,112,0.1,32.5,52855.2,6607,0,32.50,"Saint Vincent and the Grenadines","2022","April","19"
"SMR","San Marino","2021-06-10",0,34010,76,70,0.2,64.0,5440,1088,0,64.00,"San Marino","2021","June","10"
"SAU","Saudi Arabia","2022-02-28",.049,35340680,48437.57,172020,0.5,73.5,2311796,188,323,73.46,"Saudi Arabia","2022","February","28"
"SEN","Senegal","2021-07-26",.49,17196308,615.3755,61082,0.4,3.7,1.31e+07,3006,25340,3.72,"Senegal","2021","July","26"
"SRB","Serbia","2022-03-22",1.809,6871547,45.21683,2275,0.0,48.7,2150029,13231,164442,48.71,"Serbia","2022","March","22"
"SYC","Seychelles","2021-11-08",0,98910,212,1120,1.1,82.3,-2247.004,-28,0,82.27,"The Seychelles","2021","November","08"
"SLE","Sierra Leone","2021-04-27",0,8141343,1209,14322,0.2,0.7,6459358,6314,0,0.66,"Sierra Leone","2021","April","27"
"SGP","Singapore","2022-05-02",.183,5453600,5433,3384,0.1,91.9,-650217.1,-2690,-2690,91.92,"Singapore","2022","May","02"
"SVN","Slovenia","2022-05-03",.893,2078723,62.46634,146,0.0,60.9,397746.4,38140,70832,60.87,"Slovenia","2022","May","03"
"SOM","Somalia","2021-10-06",.358,16359500,1157.589,106162,0.6,1.8,1.28e+07,1687,9879,1.82,"Somalia","2021","October","06"
"ZAF","South Africa","2022-05-04",.133,60041996,3830,203489,0.3,35.5,2.67e+07,1838,14701,35.51,"South Africa","2022","May","04"
"KOR","South Korea","2022-05-04",1.927,51305184,1734.222,16878,0.0,87.8,-3991235,-3311,-327282,87.78,"South Korea","2022","May","04"
"SSD","South Sudan","2021-10-01",.025,11381377,2118.881,28350,0.2,0.7,9027556,4458,1274,0.68,"South Sudan","2021","October","01"
"ESP","Spain","2022-03-16",1.296,46745211,723.8282,55118,0.1,88.0,-3716267,-944,-57175,87.95,"Spain","2022","March","16"
"LKA","Sri Lanka","2022-04-04",.133,21497306,3424.571,22274,0.1,79.1,183951.1,116,330,79.14,"Sri Lanka","2022","April","04"
"SDN","Sudan","2021-06-29",.019,44909351,6306.885,53256,0.1,1.2,3.54e+07,9299,7971,1.23,"Sudan","2021","June","29"
"SUR","Suriname","2022-03-27",.241,591798,517.4825,1092,0.2,45.2,206103.4,2642,377,45.17,"Suriname","2022","March","27"
"CHE","Switzerland","2022-05-02",.492,8715494,286.2809,1273,0.0,69.8,890860.1,9797,41989,69.78,"Switzerland","2022","May","02"
"TWN","Taiwan","2022-05-04",.138,23855008,25959.22,210932,0.9,83.0,-709326.3,-47,-155,82.97,"Taiwan","2022","May","04"
"TJK","Tajikistan","2021-09-17",0,9749625,59858,242158,2.5,23.3,5531098,320,0,23.27,"Tajikistan","2021","September","17"
"THA","Thailand","2022-05-04",1.203,69950844,1295.247,232464,0.3,80.3,-184027.1,-11,-933,80.26,"Thailand","2022","May","04"
"TLS","Timor","2021-09-28",.744,1343875,5141,52374,3.9,32.9,633590,169,169,32.85,"Timor","2021","September","28"
"TTO","Trinidad and Tobago","2022-05-04",2.443,1403374,60.07582,683,0.0,53.3,375098.2,7690,26366,53.27,"Trinidad and Tobago","2022","May","04"
"TUN","Tunisia","2022-03-21",.036,11935764,4030.303,10381,0.1,60.1,2376822,3205,1374,60.09,"Tunisia","2022","March","21"
"TUR","Turkey","2022-05-04",.121,85042736,490.5697,10359,0.0,68.0,1.02e+07,13805,141997,67.99,"Turkey","2022","May","04"
"TCA","Turks and Caicos Islands","2021-04-11",0,39226,57,6426,16.4,38.3,16341.8,36,0,38.34,"Turks and Caicos Islands","2021","April","11"
"UGA","Uganda","2021-05-24",.03,47123533,7472.358,136618,0.3,1.1,3.72e+07,3808,5440,1.14,"Uganda","2021","May","24"
"UKR","Ukraine","2022-02-27",3.405,43466822,165.25,209932,0.5,36.3,1.90e+07,1267,187519,36.29,"Ukraine","2022","February","27"
"ARE","United Arab Emirates","2022-05-04",0,9991083,4615,1988,0.0,99.0,-1897676,-13364,0,98.99,"The United Arab Emirates","2022","May","04"
"GBR","United Kingdom","2022-04-28",3.487,68207114,178.0061,188124,0.3,78.0,1376142,102,24359,77.98,"The United Kingdom","2022","April","28"
"USA","United States","2022-05-03",1.174,332915074,670.4907,560593,0.2,77.5,8450429,211,82485,77.46,"The United States","2022","May","03"
"URY","Uruguay","2022-05-04",.533,3485152,1675.821,6181,0.2,85.6,-195985.3,-444,-824,85.62,"Uruguay","2022","May","04"
"UZB","Uzbekistan","2021-12-08",.08,33935765,75047.16,1461008,4.3,53.2,9091885,87,236,53.21,"Uzbekistan","2021","December","08"
"VNM","Vietnam","2022-03-22",.682,98168829,5148.224,740827,0.8,81.4,-1412124,-27,-1788,81.44,"Vietnam","2022","March","22"
"ZMB","Zambia","2021-09-07",.136,18920657,1297.938,1565,0.0,1.6,1.48e+07,132607,340990,1.64,"Zambia","2021","September","07"
"ZWE","Zimbabwe","2022-05-04",.019,15092171,42930.07,51305,0.3,38.9,6197459,1691,483,38.94,"Zimbabwe","2022","May","04"
